target_cake_length,actual_cake_length
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.699855481
0,-0.650139357
0,-0.65
0,-0.65
0,-0.699856382
0,-0.600286766
0,-0.649858967
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.600144478
0,-0.649856269
0,-0.65
0,-0.65
0,-0.600145087
0,-0.649855906
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.699855398
0,-0.600291512
0,-0.649856933
0,-0.65
0,-0.699855245
0,-0.650143828
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.600146907
0,-0.64973696
0,-0.65
0,-0.65
0,-0.65
0,-0.699713032
0,-0.600296232
0,-0.649853848
0,-0.65
0,-0.65
0,-0.699851909
0,-0.650147417
0,-0.699848947
0,-0.650149281
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.600149183
0,-0.649849128
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.600152054
0,-0.649849368
0,-0.65
0,-0.65
0,-0.699846377
0,-0.650151717
0,-0.65
0,-0.65
0,-0.65
0,-0.699845946
0,-0.650154864
0,-0.65
0,-0.65
0,-0.65
0,-0.600181322
0,-0.6
0,-0.649803677
0,-0.60020112
0,-0.649405801
0,-0.600602606
0,-0.649271256
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.60054745
0,-0.64933439
0,-0.600691275
0,-0.649096022
0,-0.600921388
0,-0.649081623
0,-0.600909544
0,-0.649102193
0,-0.699104452
0,-0.650883887
0,-0.65
0,-0.65
0,-0.65
0,-0.600567212
0,-0.6
0,-0.649441266
0,-0.699463299
0,-0.650546557
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.600485567
0,-0.649522889
0,-0.65
0,-0.65
0,-0.699548624
0,-0.600868143
0,-0.69913882
0,-0.650416692
0,-0.65
0,-0.65
0,-0.65
0,-0.699613953
0,-0.650380373
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.699823611
0,-0.7
0,-0.650278686
0,-0.65
0,-0.65
0,-0.65
0,-0.600281177
0,-0.649719729
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.600167618
0,-0.64976101
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.699832935
0,-0.650164999
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.699831121
0,-0.600333571
0,-0.649833995
0,-0.65
0,-0.600166582
0,-0.649833863
0,-0.699831928
0,-0.7
0,-0.650168266
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.699831668
0,-0.7
0,-0.7
0,-0.7
0,-0.7
0,-0.650167724
0,-0.65
0,-0.699828617
0,-0.600340606
0,-0.649830583
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.699827199
0,-0.650170722
0,-0.65
0,-0.600172471
0,-0.649825285
0,-0.699826283
0,-0.7
0,-0.650169681
0,-0.600173225
0,-0.6
0,-0.6
0,-0.649824955
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.600174202
0,-0.649826702
0,-0.699824653
0,-0.650171693
0,-0.600195209
0,-0.649687764
0,-0.600368934
0,-0.64954735
0,-0.65
0,-0.65
0,-0.65
0,-0.699825235
0,-0.650173333
0,-0.65
0,-0.699823408
0,-0.650175713
0,-0.600176755
0,-0.649826843
0,-0.600177124
0,-0.649825849
0,-0.65
0,-0.65
0,-0.600175298
0,-0.649823359
0,-0.600177371
0,-0.64982493
0,-0.65
0,-0.699822774
0,-0.650177719
0,-0.699823165
0,-0.650176193
0,-0.699823362
0,-0.650178831
0,-0.60017713
0,-0.649823955
0,-0.65
0,-0.699821726
0,-0.650178831
0,-0.600179684
0,-0.649821811
0,-0.65
0,-0.600179736
0,-0.649822613
0,-0.699821105
0,-0.650180051
0,-0.699818351
0,-0.600357063
0,-0.649820882
0,-0.65
0,-0.65
0,-0.65
0,-0.600180591
0,-0.649821913
0,-0.600179161
0,-0.649821816
0,-0.600179076
0,-0.699635318
0,-0.650180477
0,-0.65
0,-0.600179377
0,-0.6
0,-0.6
0,-0.699632541
0,-0.650179737
0,-0.60018285
0,-0.6
0,-0.649817391
0,-0.65
0,-0.65
0,-0.600311622
0,-0.6
0,-0.6
0,-0.6
0,-0.699630698
0,-0.600366547
0,-0.649816767
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.65
0,-0.600182942
0,-0.649817467
0,-0.600184721
0,-0.649775596
0,-0.600185721
0,-0.6996316
0,-0.650182803
